Instrument,Accuracy,Class
Nord_BambinoUpright-XL,0.8,Upright
Nord_ConcertGrand1Amb-Lrg,0.91,Grand
Nord_GrandLadyD-Lrg,0.94,Grand
Nord_QueenUpright-Lrg,0.74,Upright
Nord_SilverGrand-XL,0.96,Grand
Instrument,Accuracy,Class
AkPnBcht,0.96,Grand
AkPnBsdf,0.8,Grand
AkPnCGdD,0.96,Grand
AkPnStgb,0.47,Upright
ENSTDkAm,0.49,Upright
ENSTDkCl,0.33,Upright
SptkBGAm,0.56,Grand
StbgTGd2,0.9,Grand
grand-closed,0.9,Grand
grand-open,0.9,Grand
grand-removed,0.91,Grand
upright-closed,0.7,Upright
upright-open,0.39,Upright
upright-semiopen,0.15,Upright
